"year","name","value"
1845,"gt",37.4784110535406
1845,"British",32.6424870466321
1845,"lt",22.6252158894646
1845,"brig",22.1070811744387
1845,"barque",21.2435233160622
1845,"Singapore",18.8255613126079
1845,"days",16.9257340241796
1845,"Dutch",15.5440414507772
1845,"ship",14.6804835924007
1845,"China",13.8169257340242
1845,"OF",13.4715025906736
1845,"July",12.6079447322971
1845,"Bombay",12.2625215889465
1845,"cwt",12.2625215889465
1845,"Calcutta",11.7443868739206
1845,"Mr.",10.7081174438687
1845,"last",10.5354058721934
1845,"Straits",10.1899827288428
1845,"sight",9.67184801381693
1845,"schooner",9.67184801381693
1845,"August",9.15371329879102
1845,"June",9.15371329879102
1845,"received",8.80829015544041
1845,"Times",8.46286701208981
1845,"Do",8.46286701208981
1845,"bark",7.9447322970639
1845,"north",7.7720207253886
1845,"MARKET",7.426597582038
1845,"SINGAPORE",7.426597582038
1845,"Madras",7.426597582038
1845,"SHIPPING",6.90846286701209
1845,"Port",6.90846286701209
1845,"Intelligence",6.73575129533679
1845,"Steamer",6.56303972366149
1845,"arrived",6.21761658031088
1845,"Manila",6.21761658031088
1845,"M.",5.69948186528497
1845,"following",5.69948186528497
1845,"Ceylon",5.69948186528497
1845,"ARRIVALS",5.52677029360967
1845,"Mauritius",5.52677029360967
1845,"Oct.",5.35405872193437
1845,"Wales",5.18134715025907
1845,"Tuesday",5.18134715025907
1845,"H.",5.18134715025907
1845,"made",5.18134715025907
1845,"cubic",5.00863557858376
1845,"European",4.83592400690846
1845,"Europe",4.83592400690846
1845,"day",4.83592400690846
1845,"Malacca",4.66321243523316
1845,"th",4.66321243523316
1845,"September",4.66321243523316
1845,"Batavia",4.66321243523316
1845,"May",4.66321243523316
1845,"G.",4.66321243523316
1845,"October",4.66321243523316
1845,"arrival",4.66321243523316
1845,"ON",4.49050086355786
1845,"HARBOUR",4.49050086355786
1845,"Brit",4.49050086355786
1845,"INSURANCE",4.49050086355786
1845,"November",4.49050086355786
1845,"Harbour",4.31778929188256
1845,"levied",4.31778929188256
1845,"dues",4.31778929188256
1845,"St",4.31778929188256
1845,"Current",4.31778929188256
1845,"Captain",4.31778929188256
1845,"LONDON",4.31778929188256
1845,"free",4.31778929188256
1845,"exist",4.14507772020725
1845,"Ist",4.14507772020725
1845,"Duties",4.14507772020725
1845,"REPORT",4.14507772020725
1845,"Sept.",4.14507772020725
1845,"Hongkong",4.14507772020725
1845,"week",4.14507772020725
1845,"Hope",4.14507772020725
1845,"Imports",3.97236614853195
1845,"time",3.97236614853195
1845,"Cape",3.97236614853195
1845,"Exports",3.97236614853195
1845,"Sir",3.97236614853195
1845,"GOODS",3.97236614853195
1845,"Helena",3.97236614853195
1845,"C.",3.97236614853195
1845,"PREMIA",3.97236614853195
1845,"From",3.97236614853195
1845,"state",3.97236614853195
1845,"Companys",3.97236614853195
1845,"Great",3.79965457685665
1845,"America",3.79965457685665
1845,"Court",3.79965457685665
1845,"yesterday",3.79965457685665
1845,"December",3.79965457685665
1845,"left",3.62694300518135
1845,"cent",3.62694300518135
1845,"DEPARTURES",3.45423143350604
1845,"Boxes",3.45423143350604
1845,"basket",3.45423143350604
1845,"Drs",3.45423143350604
1845,"present",3.45423143350604
1845,"COMMERCE",3.28151986183074
1845,"Spanish",3.28151986183074
1845,"Persian",3.28151986183074
1845,"Black",3.28151986183074
1845,"London",3.28151986183074
1845,"pepper",3.28151986183074
1845,"papers",3.28151986183074
1845,"American",3.28151986183074
1845,"In",3.28151986183074
1845,"Western",3.10880829015544
1845,"Sep.",3.10880829015544
1845,"On",3.10880829015544
1845,"Sea",3.10880829015544
1845,"market",3.10880829015544
1845,"morning",3.10880829015544
1845,"New",3.10880829015544
1845,"Gulph",3.10880829015544
1845,"MONEY",3.10880829015544
1845,"Red",3.10880829015544
1845,"Penang",3.10880829015544
1845,"Macao",3.10880829015544
1845,"Sago",2.93609671848014
1845,"learn",2.93609671848014
1845,"number",2.93609671848014
1845,"For",2.93609671848014
1845,"Eastern",2.93609671848014
1845,"Prices",2.93609671848014
1845,"kept",2.93609671848014
1845,"issue",2.93609671848014
1845,"JOURNAL",2.93609671848014
1845,"By",2.93609671848014
1845,"new",2.93609671848014
1845,"CHINA",2.93609671848014
1845,"dates",2.93609671848014
1845,"Rhio",2.93609671848014
1845,"instant",2.93609671848014
1845,"Nov.",2.93609671848014
1845,"Cent",2.76338514680484
1845,"India",2.76338514680484
1845,"Months",2.76338514680484
1845,"Chinese",2.76338514680484
1845,"announce",2.76338514680484
1845,"Antimony",2.76338514680484
1845,"place",2.76338514680484
1845,"accepted",2.76338514680484
1845,"arc",2.76338514680484
1845,"brought",2.59067357512953
1845,"letter",2.59067357512953
1845,"office",2.59067357512953
1845,"notice",2.59067357512953
1845,"General",2.59067357512953
1845,"London..",2.59067357512953
1845,"Aug.",2.59067357512953
1845,"Tin",2.59067357512953
1845,"Latest",2.59067357512953
1845,"Measurement",2.59067357512953
1845,"Coin",2.59067357512953
1845,"Gambier",2.59067357512953
1845,"expected",2.59067357512953
1845,"ditto",2.59067357512953
1845,"Id",2.59067357512953
1845,"Aden",2.59067357512953
1845,"LIVERPOOL",2.41796200345423
1845,"Government",2.41796200345423
1845,"Esq",2.41796200345423
1845,"evening",2.41796200345423
1845,"Mrs.",2.41796200345423
1845,"NEWS",2.41796200345423
1845,"Cassia",2.41796200345423
1845,"published",2.41796200345423
1845,"Feet",2.41796200345423
1845,"Ore",2.41796200345423
1845,"li",2.41796200345423
1845,"PENANG",2.41796200345423
1845,"England",2.41796200345423
