"wordCol","yearCol","countCol"
"luck",1955,2
"burial",1955,2
"blazes",1955,1
"kneels",1955,1
"independent",1955,1
"diana",1955,1
"series",1955,1
"spanish",1955,1
"husband",1955,1
"bowls",1955,1
"carry",1955,3
"literature",1955,1
"hanged",1955,1
"fortnight",1955,1
"impossible",1955,1
"navy",1955,7
"aids",1955,1
"dawn",1955,2
"truman",1955,1
"ring",1955,5
"hurts",1955,1
"talking",1955,1
"wardles",1955,1
"drove",1955,1
"network",1955,1
"driving",1955,2
"forts",1955,2
"open",1955,3
"views",1955,1
"re",1955,1
"hatoyama",1955,1
"mcnutt",1955,1
"surprise",1955,9
"sampan",1955,1
"independence",1955,2
"headmen",1955,1
"trengganu",1955,1
"rail",1955,4
"u.s.",1955,29
"stella",1955,1
"threatened",1955,1
"revenge",1955,1
"free",1955,21
"mourning",1955,2
"cheers",1955,3
"struggle",1955,1
"egyptians",1955,1
"crowned",1955,2
"fixe",1955,1
"wanted",1955,5
"leela",1955,1
"jubilant",1955,2
"aisle",1955,1
"starts",1955,8
"refugee",1955,1
"kashmir",1955,2
"days",1955,39
"sue",1955,1
"ministries",1955,1
"qust",1955,1
"prodigal",1955,1
"signature",1955,1
"moving",1955,2
"diggers",1955,2
"bevan",1955,6
"bite",1955,1
"stewart",1955,1
"favoured",1955,2
"puce",1955,1
"baling",1955,1
"magici",1955,1
"hoot",1955,1
"scramble",1955,3
"bicycle",1955,1
"ditch",1955,1
"ranches",1955,1
"leaders",1955,3
"bitten",1955,1
"traction",1955,1
"toy",1955,1
"fence",1955,1
"service",1955,8
"forgery",1955,2
"fled",1955,1
"top",1955,13
"hawks",1955,1
"girls",1955,9
"sumatra",1955,3
"fiction",1955,1
"needed",1955,1
"rates",1955,4
"loewen",1955,1
"hollywood",1955,1
"john",1955,4
"dogs",1955,2
"blasts",1955,1
"kiwi",1955,1
"butter",1955,1
"murder",1955,24
"luxury",1955,1
"collapse",1955,2
"geneva",1955,2
"took",1955,2
"rejected",1955,2
"buddhists",1955,1
"least",1955,1
"drinker",1955,1
"nurse",1955,1
"warders",1955,1
"crawl",1955,1
"gambler",1955,1
"rebuff",1955,1
"begins",1955,3
"mercy",1955,2
"trek",1955,1
"peril",1955,7
"target",1955,2
"scribbled",1955,1
"attlee",1955,2
"tree",1955,5
"likely",1955,4
"natty",1955,1
"matter",1955,3
"townsend",1955,2
"iron",1955,1
"charlie",1955,1
"walloper",1955,1
"knights",1955,1
"hailstones",1955,1
"powers",1955,1
"minus",1955,1
"raf",1955,4
"bridge",1955,2
"fashion",1955,1
"sees",1955,6
"feat",1955,1
"ran",1955,2
"modern",1955,1
"raj",1955,1
"mine",1955,1
"rat",1955,2
"marching",1955,1
"lull",1955,2
"boozing",1955,1
"seen",1955,3
"mins",1955,2
"seek",1955,8
"tells",1955,10
