Date	Page	Abstract
18900101	909090	909090
18900102	Page 2	"COMMERCAIL I Qafa*M I r Jo. do. It aaa'.tv do. mo) I I Ii Ml I vl k"" ■*L&gt; £l A-hoiua f&gt;» lA&gt;nJ'.«.— &gt;&lt;»• 1 I L)""in»nl PriT»t« «'■&gt; I do t Oa /V«»&lt;v— Bvk .1 I Om /»/,&lt;. -i&lt;-.. T.T PMtMtoM 1 i On Honing -l!vl. T T IJ..."
18900102	Page 2	MAILS CLOSE. I I
18900102	Page 2, REUTER	STRAITS TIMES THURSDAY, 2ND JAN., 1890. REUTER'S TELEGRAMS r y,;,t, Times Bn*iM Imunm It -Ur .1. [mat Row*&gt;ll affaiatal &gt;M i H h i-' IkMMI I rim* lUwll. Ml&gt; I I I V.-ii. l'rin.-i|nil Civil .\U'li.-al &lt; fßc»-r. Str»it« M-. 1-' ,Iv v IfHi mlI H^«ltl, &lt;&gt;ffir-r f.r tt« |H.rt...
18900102	Page 2	The News Year. Till l»»t doraH* ...iifi.l. ntlv I.- &gt; t»l&gt;l- tntn-iti«n .i mml f«il to ai»&lt;rt ti..:i«hip with whi.h will r.- i BMr*t r 1 i With that It T«-«r wili win 1 wbirfc t.-K- 1
18900102	Page 2	Police News.
18900102	Page 2	The Recent Murder Case.
18900102	Page 2	Malacca News v
18900102	Page 2	Influenza and Cholera. f
18900102	Page 3	The New Year Sports. i .•utajr awtaw. iW «a»T i 1 I I II M r it ■'■■.iT K u_' 1 1 n ll.rih H I I n »i« 'm in n i 17 r |,;ft. i •1..1 bb4 Au- two I it lauki. at inter. ll I :i-l will,...
18900102	Page 3	KrltUk Vrt* la th&lt; •-in I it ■&gt;•• tk»t &lt;«• I -nth &gt;• ,it mm t 1 ri icbiiii'j &gt;, i .ill ill 1 1 tint M &gt;«atn of the iMtir.-. wli.-n li-- M c«o»iu«»d tlut I'll! V. t tlh X I la I i »t thB II to allow...
18900102	Page 3	Telegraphic Summary. I i i i :tll I at I ''f I I Lord Al.! i. prwid it vaJ rci 1 i &gt; t.-rtld'. tfce iujil-1 t L»»- I- 1 I j I. D k fatal es- Urn i., ..i. Tkt irv.l. I I tit 1 that I ,'ar lidk...
18900102	Page 3	"Passenger List. D Ir. I r) W II v II.IIV II I ""I lira. I tin I 1 &lt; kUn M B*k*r, i I L'HIJ. Mr». M m i: i un Ir. fl Marts*, Mr. K ■•r-i.»w. -iii an! 1 I'.t 1 U..-i, m. Mr I I lin.i, H ruard..."
18900102	Page 4	IX POST. ..W 4 R V H I' »pt. ipuin ■pt»:n 1*1 1 A .Normally. i&gt;,i Ln:. I J »raw»k ■9m k NV» H 171 v. k i .Motion— Xf» H»rl«.ur. &lt;»ilfifa l H for Hnrmnh N I i 177 K b I*b I- Tanjootf M I l'.l,.U nit SAII.IS...
18900102	Page 4	"ARRIVALS. I* ■m &gt; I ,L. l.n. 1 Iten Wli.ll Hmi 1 P.linri 1 N.WII. 1 l.illlt ,ii F.li tr. lint -tr 'tr ■tr 7t» Stouli»!ii -tr ""4 'iniut -tr lint I""! 4 I"
18900102	Page 4	CLEARANCES. INK. MM .1, J 1 J I I l.lWtf \..-Ur IN'll-ropboli BOTMO CM* •v. Urn -tr .(r l&gt;ut .ti in I JafMl ,-Lok
18900103	Page 2	COMMERCIAL i&gt;n li&gt;ia«t. ItW P» .i.tio» Ut.W do. Ota N I 40. 4*. N« 2 I fclMMk P»pf»r. BUctl I'lMrl Swi Coffee. B-di I t.»UFUke do. do. 1«t quality 1. flake l» ir»»ll l -n~l •V Ned. «V 3li»kl»- »■•&gt; Amhoina Dn 1 &gt;|.iu'n. BaaaPM ExrHANOB. 'M London— fUnk 4...
18900103	Page 2	MAILS CLOSE. h Per .IV. I II &gt; I p mi 1 p a »O-T- MBtn'i A t i a t BiMwak, I p w UkM
18900103	Page 2	NEXT MAIL DUE. Fr.,ui y irup.,
18900103	Page 2, REUTER	STRAITS TIMES FRIDAY, 3RD JAN., 1890. REUTER'S TELEGRAMS. t-.r SI,-,,), Kin t I I, In. iui. li iij. il l'tn&gt;. l'u- li i,|,it iU .ir. juil.mi I -|Ui .m.l tii.- .1 ill, ,i, Mpailj MWg I i- Liuivr llir..il_'li.nii iaHy in An-- i tn 1 K.lil An; I. i'ii-T.- dr.-...
18900103	Page 2	"The Fishing Industry Tm in|»tt»Drr ..f th«- h«l \fT\ or. Hat ViHt of tli.- i. ing iaUii.l- vi ol&gt;Uni.-l. Kut .itriiij In- fl MM* »i""i-' &gt;■ port a. p m going. hi. *fc in a .■■li, i few li.iiim' Mt] f fhaaertkctlic nn-1 11. vi Off, Wi. taught, infri-.|i|*utly 1..f..r.1l..."
18900103	Page 3	Supreme Court.
18900103	Page 3	"Standing of the ""Bemore"""
18900103	Page 3	Police News.
18900103	Page 3	Sunday News.
18900103	Page 3	Selangor News. I
18900103	Page 3	The China Review I
18900103	Page 3	Mail News. •a bbbbM II tfc» .1 rnra'i mm ai* I i tn.l &lt;&gt;f Hi* A i tli. i
18900103	Page 3	London Letter. I 1 tai- for thai tu- 'I »:_'im). It llH L, I ri» and tui I All I. ll* .v.m|&gt;lk^i&gt; I &gt;iil| I i tlni wi. in. r. Iv l.i-lv I -l BMP I a man »li tli.' awnry. witLnu tb.- i I' v t 111.- ll'.rtli »r.lll...
18900103	Page 3	"Planting Energy in Ceylon. 9 Wll i i I i 1 1. TMTt. iiii« in I III* 1- 7-&lt;*1 I m i i t\- it CM M I ■I tie -.I!.- I •I»_V, matt rj may. I ""tI in »1i.t.- I I i l'l I witb it Iu l»Tt \\.-r-..."
18900103	Page 3	"Gold Extraction Tin -ii|&gt; r-.—ioii ..f ti Id -t*ni|. Iv iui|&gt;r.&lt;\,'.l ii"" -.-iiaiii v. 'lio.U ""I Mb) I ii.""ti.m Bilk tl U--W lie bHbM -at &lt; i ,ini,.U I a r.-fm t.. si; tin t I Me I"" ■■alaaa .1 lv tli^ .1 r.lm (ir I I .r--roujfhly i io..."
18900103	Page 3	Late Telegrams I II I' -'linn, ht i tw i lr. i» nini..iir.-.l ti. [til tb.- baskcfi uti-1 ti. ijj\.L.' :it. but I [Tie 6 I v Ii &lt;t P. I I Mr. P i I' ti tli. H «.-r- tank, hil m 1 i v ba* killrj witb a...
