Date	Page	Abstract
18860101	909090	909090
18860102	909090	909090
18860103	909090	909090
18860104	909090	909090
18860105	909090	909090
18860106	909090	909090
18860107	909090	909090
18860108	909090	909090
18860109	909090	909090
18860110	909090	909090
18860111	909090	909090
18860112	909090	909090
18860113	909090	909090
18860114	Page 2	"COMMERCIAL. Bontlriu« U 'I'^li'v f» 00. ni'-'l. do p 4 -2""&gt; Siam A riif&gt;.&gt;in:i 1; HMO I K-nares Opium ni-nr ""1 EiniA.\..l I. in Baal In. il"" t in p Priratn rr.«lil&lt; il m do. il.i. &lt;&gt;n lu.lia BankT. T Privai 2274 On H'k.»nif Hmk .1 ,1 On B»UrU Bui..."
18860114	Page 2	MAILS CLOSE. iy 1 I To-x.-&gt;sbow. .&lt; p.m. p ra I'.n»:!-.v Arh^^^H
18860114	Page 2	"STRAITS TIMES THURSDAY, 14TH JAN., 1886. VMS. KaMS.; Parliament. On tfce reasaembbog of Pmri'ament, Mr. A. Peel was t-WtiJ r^ T The Bun rt, t::th /n-lk I Thancf of the pn I""hi 6 4 1 .■rum. Mit haa noialMn— Hotl r -..rJiuv; re-r.-iit .-vi uts at .S.i|ioa. :iii'l &lt;l-ui.s imv..."
18860114	Page 2	"The Legislative Council. At tii. &gt;il on Tu.-*l;i.v. «OTeral pa»«ed whiih n -:.i'-M..n to tin,'no fint &lt;A ti. ponoaal allowance to Hw Eicrlbney the QowaMT*! $^800 per an- uum iu u l.liti&lt;-u I"" Iks pNMB&lt; salary. litmHtl allanraaei would in any Cm 1"" fli r i salary attach- I, the..."
18860114	Page 2	Tanjong Pagar Dock Company Limited. Il.-M n iii tin- chair. :m-l then? Hon. J.ihu A Behr. T. &lt; .1 ii a J. Ham A .1 I1,i.,1.m
18860114	Page 2	Naval I
18860114	Page 2	CAPTAIN Robert B. Forbes.
18860114	Page 2	THE I I
18860114	Page 3	Penang News. I
18860114	Page 3	"Upper Burmah. 1 11 l""i&gt;- f r-*l'v ""1 s from I ndi' 1 i f tli. I to under I. M i- lil&lt;**M--v..11.] doubt"
18860114	Page 3	The Police Courts. I to tiic in- .it!i»' l.f riilli-
18860114	Page 3	The late Sir Waiter Medhurst. inanv 1.-r will to th.name I
18860114	Page 3	Netherlands Indian News. I- .N in the ...t!i th ativeh jouri Jappeo 01 I [Oaio Tk Lin Suls [adia St&lt;-am .va &gt;l p -niMti tinatraf i irtliy oi I i. ,m ;i t.ma i uid the uu.ui unh'i tin.-.- it bun I I v. hid round will ran &lt;&gt;S i...
18860114	Page 4	ARRIVALS. VrasL'a NiMi A Imi II
18860114	Page 4	CLEARANCES. k Name It &lt;i H II II U 11 rr v li.n VVI J^.
18860114	Page 4	"SHIPPING IN THE HARBOUR. Vimil'iNax* flirnim i .irinu i&gt; -ii ii.i itim ITBr Mm Ami I M j t MHF-.ir Bawt^ ;'.,V.i i -1.. f.l?*''' Hunter UusboJo Wtltf \&lt; ""H r l"
18860115	Page 2	COMMERCIAL. Pbodtjoi. Oambier i Cube do. Copra Siautun 4 Ml, do. Pußtlaaak Black Pepper ;V'iii» Pepper, dry do d,. U X Sago Flour. S»r Pearl Sam Coffee. Biillthine Tapioca, small Flake 4.30. do do. lat quality 4 70. .1.. m-d. 6ake 4.50. do -in.ll pearl do. mcd.dc. Slieklac, Bbua -74...
18860115	Page 2	MAILS CLOSE. To-M &gt;RKOW. 110 110 A Manila. 1 p.m. PWuu»(j. Afli.vn P»Unp. A:-.. t ii ni Malacca it f.ia.l. 4 p.ni l'.n»n.- &lt; 11 m I'u'omboA Loailon, A&gt;/&gt;un- i,.,i&lt;.n. 3 p.m. Manila. I p a
18860115	Page 2	STRAITS TIMES FRIDAY. 15TH JAN., 1886. EtBUTOTS TELEGRAMS. (F,r Strut* Timet.J Th&gt;: South Seas. London, 14th Jan. The American Consul at Aj&gt;u confirms the Seizure of Samoa. The Balkan Pesiuscla. C&lt;rmt&lt;thtini,pl&gt;:, litk Jan. Serria has until the Kuuuvli&n question is settled.
18860115	Page 2	The Milk Supply. Is connection with this (abject, t&lt;&gt; which i worthy of not-- that iii Hongkoni; a m •r whiih it is bapaj will lead to IJ Coiupanv for the su|&lt;|&gt;ly of freah and pur-- in Ik and butter to tin- (.'ol'.nv. Iv the m-ukr in which th.- pr.nuiit.-rs...
18860115	Page 2	I.O.G.T. •entod witt&gt;
18860115	Page 2	"Penang News. Thruii^h tli Councillor, ;w"" ii P .ii tli- loth be ijii.-uth to put"
18860115	Page 2	"Legislative Council. in Hi iii Till- lllltll' __I__^B^B^B^ 5 I m I f.,r the inflie- f,.r a limicli of t 9 11 tll""t -ion I B]. The H&lt; an.l l.v Bt h&gt;' Orf r 'i^ on H p?o v--l tin- matI them than i.. r ft I pP I n.l..."
18860115	Page 3	Netherlands Indian News. 'Tr Svura .rtLat Hi- M:- I il.ivo. to til to pa tli ;u the w,v&gt; !,ii :i in &gt; mi ut. th M it is r.j. .rt la 1 hold of ter and Aung bio in uu: itrniimr a^ain^t tli- Two o. them thereupon jumped uvct the...
