Date	Page	Abstract
18890101	909090	909090
18890102	909090	909090
18890103	909090	909090
18890104	909090	909090
18890105	Page 2	COMMERCIAL. LATEST MARKET QUOTATIONS. SIMIAPOBB 'iTB JiHIAKT. 18»!» Pboducb. Uambior I 7 «-■&gt;. do. Cabs Mo. 1 11.40. do. do. No. 2 Oopra, Bali do. Ponti&nak :!n7i. Pepper, bUck 20.. W. Sago Floor, 190. Pearl Saco &gt;J». Ooffas, Bali -2».0o. Tapiooa anall Flake 6.70. do. do. Ist quality 6.80. do....
18890105	Page 2	MAILS CLOSE. Per itt. TtlHf. To-day. Mi a-h. iMimr rU motu. Mr.lti.lfr, [oarkaur MMiarbti. Mam,-.. &gt;oMoa Tia noH&gt;. 6U»*rt»*m, Isteri.. V«ra-j. '.anhiyt ud Wlj H«.iy .&lt;..... TO«8I&gt;AT. Dit-l KMn n port*. P'At^ar 4 p.*. 4p. 6..«.
18890105	Page 2	NEXT MAILS DUE Fro* Kwopt. &lt;— ea We&lt;ise«Uv. Frost Cki»a; ftll— MmiU;
18890105	Page 2, REUTER	STRAITS TIMES SATURDAY. JAN. 5th, 1889. REUTERS' TELEGRAMS. (For Strait* Timm.) Chaboi aoaiwst a BaiTiam Ambamaoob. L-,nd&lt;m. 4th Jan. -Tbe Cologne Qatrtie accuses Sir Rol-rt Morier. now British Ambassador to St. Petersburg, and for'ur.lv Minister at Darmstadt, with having conveyed to ]|arsbal Baxaine the news that the Prussians ware Mossing...
18890105	Page 2	"General Grenfell's Return. The return ot"" General Qreufell to Cairo, which Router ha* deemed important Dough to telegraph to his subscriber* bi-re, marks, wo take it. a turning point in tb.- operations against tbe MahdisU around Suekim. It is well known that (leueral Dormer (the Commander of the Egyptian Oovernment's..."
18890105	Page 2	Soldiers' Concert at Tanglin. On Thursday eveuing therv wait held m the school room. Tanglin Barracks, m i-utertaimog concert, under the patronage of the Officers of the Regiment. It was for (be U-Ui'tit of Sergeant Wells, who is Waviug the regiment to fill a civil ap|*&gt;intmeutinPeuaug.auJ who takes with him...
18890105	Page 2	"the chinese New Year. i""r tiiMif-.i! ""t 1 uotitiea W?^& Hk CI U '9K ''hiui'M' Ni'W Year no yjjH»*j£- aT timl, except iv the £^??J^ below, ou tin' following |i? 1 lb&lt;- h^^st^ ilj,-.| B|..:ii 12 midI Hfom I; itudHfnini 7 P.M. Hjv |&gt;r&lt;|Uibi-"
18890105	Page 2	"Gambert's Art i-'inl.' I than pay visit B their li. A I Herr Ans. hit/ .1. ■&gt; the perfection of th«"" system i I pendent of public patronage. I. .iiwd by the G.-rtn.in froTarnment TkT are about 24 'U&lt;^ Meters. Lambert i. Co., and the which struck us was the..."
18890105	Page 2	The Police Branch of St. John's Association. ■BOAT e\euiug, til. i, companied by his Privates tarv. Mr Trevenon, visited the Ceutr,, the purpose nf ilistribntirii: Ukim- meuiliers of the Pn had ]&gt;as»ed the Anilmlai. St. John's Assoi lation On H leii(v&lt; arrival, he was met by bonorarv secretary of tbe...
18890105	Page 2	Police News. At the Marine Court reiterdar. [/&gt;h Bun Kew, charged, under summon) for keeping kerxwine oil in two bu*U. «t&lt; &u&gt;4 Yeiterd*y ev«uini(. the .in iu.|ii&lt;&gt;st on a C'hinaM infant *h&lt;i UU &lt;jinl m n tntiginitU'u tbup id South Bndg« Road. Tbe andertaker übargnj with l&gt;ur_Tiug it «*v fit...
18890105	Page 2	Shipping News. We Ijarn that iaformatioo Lj been .1 of tbe HtraudiUkr of the Funjom Co.'s steam launch, and it ii au she will bMOBM a total loss. Luckily ibe is iusup ■jr&lt;jfih tftk December. There has boeb a oy done on tbe Madnu wla damage to »h i;&gt;uing i...
18890105	Page 2	"Singapore Volunteer Artilery 'IMUH. I. Drills will he r iust |ii»il drills fur drill to rumplete the will take place eat-i suamng ""*k (except Saturn 1 Hull. «t US \&gt; 1 A meeting f Dm (1.-.,. will he held at (I. 11l nil M'.lldn |W r in nm»»»i il is..."
18890105	Page 3	A Strange Sight in Singapore. i mil stric&gt;f the :rsu. Icr to r Islam, and ilile hold which has on the Malay race. Mohame: compiled the Koran t.. suit 's ..mil cir. u instances in which he msnlf, and, as w.- know that iHMik relative to irta such as tli....
18890105	Page 3	Missionary Work in Japan. m people b iian* I IM. W^acLAcs a
18890105	Page 3	Telegraphic Summary. from ent li^ht ikim. it was found 'hat t&lt; V.)lvel that n worthless. &lt; &gt;M MlSKjkkt AT t^KPAaTVKNT RE-NAJIt'- \I; M T A Woyal Warrant has been jaaued, nceo*dinf{ to w-hjeh the Corani it has i nam.-d the Ai v i pa, aodOfh'i era in it will henceforth...
18890105	Page 3	The Burmah Rice Crop. The a'ea under rice cultivation i- now reported to l»- I m cent. more than the actual urea under cultivation last year. There i decrease of over ■27.IKH' acre* as compp^k ritfa the estimate inven hut mouth, wb. t^ due to the destruction bysaltwate- sedation of...
18890105	Page 3	Troubles in the South Seas. Native outrage* in tho Sout« S :n: lamentably common. Only within the last two or three weeks five eases of this kind have been recorded in which linen have been the victims With those instances that I I on the lieu coaat, it may 1....
18890105	Page 3	"Antiquarian research in Cambodia. -'f fVn'-h ludo iuuioa au liii I on an &lt;l mission t.i S.*ui aud C.iin--iiducted l.v M V jrnereiiu under in.-tructioo* fnni the Freni ii (Joveruoj 'nl The ""lij.-et »a» to .-am- v r- •lie Khmers^a highly race, who on.c held sway n.r a j.irv in..."
18890105	Page 3	An Anglo-Chinese City. Ifaal I m 0 UhittiU'. .V,.,-. ml,, f. At pr.-aent IShatno is very .(iiitt. aud the health of the tr.».ps is improvini;. Heavy rainstorms two u.c'k- tborcmgbli tho ground aajitiii, OMMinc iavar amoug the uative and Indian population. Tli.' Government is .(iiietly plauuiun another extieditidn against tb«...
18890105	Page 3	"A Chinese Funeral. \n interestint: a&lt;""-ou»t is given N&lt;'W York p&gt;(mtk of a Chim--- (WMml wlii.'u tookpace kteli in i li.it city. Tbed Li Ju Doo, ha&lt;i bn.-u a QeO6flJ io the TVininu iwillil I Mill, had attain. --i the 38rd _t.i.l.' in Chili.-- l&gt;- i- -'.rv. ami *v Ur.ii...."
18890105	Page 3	Siam News. Mk. Ridley, the mauafcins; cnjrln«er of tbe i ontraeUn for tho innrey of tin- Siametie Railway, arrived her' by the Hrrule on Tku*&gt; day. hrii.|finß with' him four «nr»eyora in addition to two who arriv.-l bj a few da\s prcviou-. Mr Ridley, at anlUHon'with Mr Galloway, the head...
18890105	Page 3	"Rewards for Bravery. Thk awanls from time to timriafjtltji the Committee of the Rotsl H'&gt;nitiiS^|*2[ to thom&gt; wl.o. amiil danireroas •nrrl*«J^J have been instrumental in -wvtntf I. comment on modern inan'iu.'sa. T li.-art.Ml and perfnnrtorr kind of pnrsui -uppoanl perpetrator of a recent Eaontrajre »hows un xritv na&lt;llv when ""'""♦'Vtilb..."
18890105	Page 4	"ARRIVALS. *ir aw ,S—r-r~ 3W Rrkk.-rni; W« KolWt. rtney i-annru| Jan 2 Tim Kn. Ti»n 4*w 9V&gt; Lowry J,, v &lt; Ml Hum IKS."". Lewi. 66 UomUi Malacca Uii I m ttatlerl.D.l MaUwca Jan IH i ilugkong !&gt;.&lt;■ Ju. 4 Kama* I'ut «tr. ►i.hir str. Ckmm Hock Kiu Brit. str...."
18890105	Page 4	CLEARANCE. DAT*. Ju 4 I I S 5 I 5 VnMM Ni«l fun 4 Si.. Pai-tain Swpko Brit.nr. M*l*ect *ou Kluf Okawtßt'7 itr Murray London ri&gt; pact* M.iß«m MJl.tr 1v,,,, Sunn A«Ae.r-t Hrit P*k«n y» uortMeAlutcr ,i r Strmtton Xaoaaur t» port. Pwu Fch. .tr Cl,or«lwr F»rt 8* Chwi Hock...
18890105	Page 4	SHIPPING IN THE HARBOUR. VautL'iNmt m»&lt;&gt;p.wA« Oimis. 'i I Fr.v.; A.fD t KEITH FbOH. Co»Bis HM.tr 9»D«. 0 Honzko,.,: -i. mor N»v»; Ofio»i I Col. itr .y* ivc. je siftiuc. II N'ar 29 Buirkok Brit «tr 1 Iru lloait. I IV- D«t. air. 207&lt; Juu. 1 Peuaay itouttMl^Hß*. O»t.«»r in...
18890106	909090	909090
18890107	Page 2	COMMERCIAL. LATEST MARKET QUOTATIONS. Si (.iAroa« 7th Jahi-abt, ldrfl Pboduob. Oambiae 7.80. do. Cob* No. 1 IL4& Ao. do. No. i 75. i Copra, B»li 3.65. do. Pontlanak 3.074. Pepper, UUek Sago Flour, IM. P«rl Sago :t.-JO. Coffee, Bali -Ja.mi. Tupioca, small Flak* 6.70. do. do. Ist quality 6.80. do....
18890107	Page 2	MAILS CLOSE. F:r Ptr Mr. To-jiobbow. I uitr&gt;i K Ion &gt; i* port*. P—hmtrmr, H.o«k.,k Mm. Sanwik. .Vurnuinty. Ma.r. f(.,.,Ui.I,.n.lon. *ir// Prii«Bf ri» parti. ImiMi ll«li T.. porW, .W»r.«r, ManUk Pklmb^f ft»6«. II s m. doob. 3 p.m.
18890107	Page 2	NEXT MAIL DUE. Froa hurop* .1 &gt;■&lt;! ol TburxUf.
18890107	Page 2, REUTER	STRAITS TIMES MONDAY. JAN. 7th, 1889. REUTERS' TELEGRAMS. (For Strait* Timm.) t'omtnciAL Hakbour DirixcK. Londnn. M January. Lord Salisbury, replying to a deputation urging th defence of tlie commercial harbour*, announced that provision will be made for this purpose in the ensuing Naval and Military Estimates. Si i. Qobibt Moeibb....
18890107	Page 2	The Municipal Loan. ALTHi.i.iH the security may l&gt;e uudeniable. yet iuterest at the rate of five per cent for borrowed money ia not, out here, much inducement for persons to invest their- spare cash in the purchase of the Municipal stock- L,oug ago, as ia the oustom ot all l^oeal...
18890107	Page 2	The Compensation for Riots Bill. ii'Kkahi k interest i» liein^ uianifeited in the Dill which wan for t i time made public in our cliiui.i- n Saturday. The pilrinwe of th- I ia in the tint place to provide funds &lt;&gt;ut of which persons who during riots suffer in person...
18890107	Page 2	The Fall in Freights. Wt ..uiineiii. d in tun. &gt;.v tlie very high freight* which have Ihvn ruling uutil .juite recently The MMtittO, which was gveu I'ieu (.learlv iucvitulue, bjM Ukefl place, liut the fall hrn bans ahar|&gt;or and haa taken place cooner than was Mtiaipa*ed by man, peuplo. We...
18890107	Page 2	Pauper Immigrants. DruiN'i t lie .a»l year a fjoodh of th of Kuro|»-aii- us have arrived in Singa'« 1,,.|.- ..f finding employment. I: larger iiiui)l»r hither at the eipeaSw of the 1 I Calcutta, Bombay, Madras, ami I.' aud we Imve to protest agaiu.t these Dieting us with a ,f...
18890107	Page 2	The Caroline Islands. I I I i I
18890107	Page 3	Police News. In t t'oiirt today, Ohan Ali S.nii:. for being found in l&gt;o*ae*»ioii of chaadoo dross uln.- 190 iv Taojnng ;'.._.n 800 1. was fim-d $1(1. Kah -..'ii of contraband cfaaudoo in Teo Chew Street, iui-urred ;i tin.- of &gt;&lt;50. Three Chinamen, eauifht |.!ii\ iii); in a oornuion '.Miinn.'...
18890107	Page 3	The Pope as a Jonrnalist. a tb.- Pope, whoae tou.lu.-ss for jouru i.l-iii ia w.-ll k:i m miv paper for the 1 niirloa fill v
