Date	Page	Abstract
18580101	909090	909090
18580102	909090	909090
18580103	909090	909090
18580104	909090	909090
18580105	909090	909090
18580106	909090	909090
18580107	909090	909090
18580108	909090	909090
18580109	Page 3	THE SINGAPORE DAILY TIMES 23 I :r&gt; 5 1 II 33 CAT.
18580109	Page 3	STRAITS TIMES V
18580109	Page 4	Municipal Commissioners i
18580109	Page 4	China I H I 1 y K
18580109	Page 4	SHIPPING IN HARBOUR &gt; I \l i A i i U i) II ii b i I i i H V Until II i I: i i r n il D 21 7 I) h I .1 &lt;i I i. il s J I t r o I IT] I.
18580109	Page 4	SHIPPING REPORT Ox r. i
18580109	Page 4	"SINGAPORE SHIPPING ALS i ""&gt;). I— nlitli ■&gt;. Arßienian D l'.i. Dull ll I (L JiilMl r, I. i, I I N 1 v V I I.M v I ■i I U. Dm quiln i. i,, v I' .10. 3— British i I N I an I I I;.' I..."
18580109	Page 4	VESSELS NEW HARBOUR
18580110	909090	909090
18580111	909090	909090
18580112	909090	909090
18580113	909090	909090
18580114	909090	909090
18580115	909090	909090
18580116	Page 3	THE SINGAPORE DAILY TIMES. Monday J;.u. .try 4'li 1853, will .10. oi the w also i..i 1 die. ly Tim. For 40 &gt;i ■•1' 13 nU2J 9 I rly s 1 Ctiti 38 riptiona will ::.-\tavia CAI.SU i'TA. Loi.i
18580116	Page 3	STRAITS TIMES
18580116	Page 4	MUNICIPAL COMMISSIONERS
18580116	Page 4	Bengal i i .14
18580116	Page 4	SINGAPORE SHIPPING ARRIVALS hi. Hi Aur m iii I' ii k i, Jin. 2. -i: i i In. 1 l :i i\ i. \iI' Ii t I N a v;&gt; Carnljne, S i 1 1 British i' Ni- i! i i I i J. Old. bark (dl.-ulnn I -lit list*...
18580116	Page 4	VESSELS EXPECTED FROM EUROPE i i,
18580116	Page 4	SHIPPING IN THE ROAD 11. \i g I L ii i I &lt;! l»il 1 1 l i.i Dii I. I 1 1 I. r Iff. IK il I&gt; ■I i -111! Ii; A p,
18580116	Page 4	VESSELS IN NEW HARBOUR
18580117	909090	909090
18580118	909090	909090
18580119	909090	909090
18580120	909090	909090
18580121	909090	909090
18580122	909090	909090
18580123	Page 3	"STRAITS TIMES We In*.- t"" BMounea tke departure uf llll' lillliUMliJ I ii, t!i&lt;? I I I I. i I i K"
18580123	Page 2	"china i' I iho portiou of the heavy ii.ii- roturati I I "":i li ..,r 1 1 IT' M ll. 'l' ■&gt; Ii an. l tin- T.in ir Uen«ral, were tli i trtcr of tli'citv v. it* i le c !t i f lb« high ""!ii :iaU, i search num..."
18580123	Page 2	DISTANT PORT. Arrived. I) K D &gt; I. in Ion; 1 Siuiu'
18580123	Page 2	"VESSELS IN NEW HARBOUR .'.71 Deck L. i ;■""»■&gt; V] nard Al 1' I I &gt;. &gt;. rlinjr k inter It Storm K Libii .\i ii ...i, 1 u:i. l i; L)l TCH MA A I"
18580124	909090	909090
18580125	909090	909090
18580126	909090	909090
18580127	909090	909090
18580128	909090	909090
18580129	Page 1	ARRIVAL OF THE MAIL m i-. It I rt
18580129	Page 1	LONDON MARKET Dec 10th. hnn- f hitch ttanitinii Ih unh Hi. Act on the 12th ultimo, coupled m i .lint- r.-. eiTi .1 from Am. I linproi f.l t.l t!. r ..I mer- prewnl i little .Inmii.l. ll.c &gt; 62*1 t ewt C \%ll;l U II tu.r ii &gt; tlmr
18580129	Page 3	LATEST FROM BRITISH INDIA. By way of Gals we have received Cilcutla journals to the !)th insiant, and we observe tliat telegraphic message of the lllh hid reached Madras. A letter from Siinl.i mentions tli.it I I aTgS body of Resales troops from Bokhara have inie-ti .1 Varkaml, a place...
18580130	Page 2	DOMESTIC OCCURRENCE. DEATH I
18580130	Page 2	STRAITS TIMES n il I
18580130	Page 3	"THE QUEEN VERSUS. 'I li ill- in. ii Jury ..f 12 ivrn-HH n M I I H i 1 iI is H iml il Mmm 0 Ir.Aitk- i nl il, I M try r li -n bruagh i e'tlu-r I my twice Ai i. trying t I i to""pr i..."
18580130	Page 3	China I I I Jllll. I'.l. II. U I
18580130	Page 4	"SINGAPORE SHIPPING ARR VALS. Jan. 2 I islirit^li id t Litw, NjUli, Ii .hi.' J.ni. Tl liJlMi Nmm I.tiii'-lii-1.1, (Nitar, HMgfcaag Urn. IS). m IriTnli li.uk Aiijiinli 1'.i110-1.-rl/. M.i. nl.. ""JO J.i.i. Jan. 2-* 11. M. slm;i Racd a, W Imit ■&gt;! I:m|. 11'iiu'l.iiu J""i llaaakarg li.irk Patria, ICaacmt, Umgk*..."
18580130	Page 4	DISTANT PORTS. Arrived. D 12 John Robinaon, Hon rkon* U Ottaiina. Singapore; Mm Gaddard p.mantx I, Singapore 18 Kiuacomnn i K.ir.-. Macao; Ocean Queen, llongkoiur i:&gt; -delena. Singapore Raize Alii Sm m,,,,,, i',.. iiiin.i Broze, Macao: Kolian, Swatow Patria Koiikkoiix 26 Vorden, Hongkong; 27 \lu,' Hongkong; 28 &lt;&gt; k. Hong]...
18580130	Page 4	SHIPPING IN THE ROADS. AT N &gt; w«. 1 11. M 8. Sybille l3ooCom. Klliot H.C. 8. V rioog),l, IB.JWii X lii ll. M'^ .l.i|. »i,,et1.y.l 923 8. Greafell Em llp lc Vi 1 :l n«w« d a i,. Johmtoii'ft KriiMh ilnp Sol moa ramih s,,,ic. t v &lt;„• r...
18580130	Page 4	VESSELS IN MEW HARBOUR. Dutch I. iik 671 Keck I I. I Hereiu Whi K.r i P. w Briiwfa bark ■iUirm A in. Frederick 57h I) iik i I 111 111 l D 2 VVa i Imrk oniogcn a;; Kopp* KM ticvrlu -liol.lt Ik.' ill Mk Dill Idletoni ,&lt; r
18580131	909090	909090
18580201	Page 1	ARRIVAL OF THE MAIL. i Ijl .1 I tr I has! us pai I J. h 111. i-mli i I !ti&gt; of I ry from tit*- tin iih nl ianttt- i tin- past fortni«bt h.is beta i .i n I I 1 Iha Baal hat 8 r ent. .1 e«-div....
