Date	Page	Abstract
18840101	909090	909090
18840102	Page 2	"STRAITS TIMES. WEDNESDAY, 2ND JAN, 1884. LATEST MARKET QUOTATIONS. Sihoapobb, Sra Januabt, 1894. (Jambier S 7.40. Black Pepper ML White r'epper, fair quality. &gt;j num. Sauo Flour. 8«r J.rtO Pearl Sag.. Coffee, H..nthyne 14.30. Tapioca, »vi 1 I Flake 3.40. Tin 10a. Muletwist H3. ""i H.-. .-?tairtin((s I.sa*. 7 do..."
18840102	Page 2	MAILS CLOSE. Tar prr at &gt;el&gt;, (lanymrdr 1 p.m. lal»i&lt;-». IViMtitr. Hnrin ih mi I'll'iittn. Chinda 1 p.n. lalacca »nd Klang. M.iy n I 'piurii;, .ill. I^.i.d.n. (rlyii/nJoj, 2 p.m. KmDAT. IktirU, Sam&rang and S.,ur»h»ja 0. 0. London, 9 a.m. lalacca and Penang, Bciimon, 1 p.m.
18840102	Page 2, REUTER	REUTER'S TELEGRAMS. f-Kor SlrtilM Time*./ K( IT. London, \st January. Baker Pasha has iutfriTpU'd let tern from the Mahdi proving his intention of marching upon Ktfvpt. Should tliis hi rarried out the requisite Hriti-h troops will be detailed to assist the Egyptian troops.
18840102	Page 2	"The Capture of Sontay. Thi Hongkong /Jai/BBBB"" lm 24th December has the rur;i graph regarding the affj X'° U v j which con tainii one nrBB I particulars to what we VJ H' on Monday Tin' French transport! I which arrived here on Friday ni t 'h^^B )nc l""'""Courbet announcing..."
18840102	Page 2	Saigon Races. The Saijyon Race* com 1-rMi the 17th and 19th February Idas this date coincides with th?&gt; Mniversary of the capture ofS M&gt;.he 1 Saigon Sporting Club, in on K.ve an much eclat as possible U Bet I ing, have decided to mvi:. W* of racers in Honfjltong, ManiBß»H«--pore,...
18840102	Page 2	Penang News. Wk take the following lto.iH'M our two Penauy; contemporai it- I i'.Kh December The i. Sitero.-\U H. M.S. .WM which returned from Acheen on the'tl we learn, that in compliance with t ii •tructions sent to the British Chii-bI the Captain ol B. M S L'eyaiut \tM gunboat...
18840102	Page 2	The New Year Sports. The New Year ni ushered in day with the usual Sport* on the E nade, but the success wai somewhst Barred by heavy ihowen of rain which fell in the afternoon, and which no doubt kept European residents away from the I lion. Notwithstanding, later in...
18840102	Page 3	"ARRIVALS. Flag 11 F.nt«lla It*l. •tr.'17MD»gnino 1 Rainbow Brit. .tr. 1»B°""""\ 1 r.M.»t 1 Mirnoar 891 DW"" 1 K Evlmm On. ""4 \nd*TMn 2 Pon»n* Brit. Btr. 38« Court&lt;-n»j 1 P»tol &*«&lt;&gt;» DutKh »TOS.co^h I M»y Flow.r Brit. itr. 2» EoUrti Kro&gt;. Siiud I Comiana*. CardiS Nor. IS Muck Co...."
18840102	Page 3	CLEARANCES. Date. Vimil's Namb. Flao Bi». Captaik. DaarinATioa. DMTIHATtOa. Dee. SI SI Jan. 1 S 1 I I fltlM Mir&mar Kai*ar. I.Hind McAli(t«T Bainbow Meinim So Balk Brit. «tr. Pocock Br. rtr. Duggua Bri. r*r. Stead Brit. fto. Tulloch Brit. rtr. RoielU Feb. rtr. Farre Col. ttr. Huddle B»n«kok Malacca...
18840102	Page 3	SHIPPING IN THE HARBOUR. I jsaa-ttttawtsiKT-- rXn^klboA.cmn. Ital. cor. I*l3 Dec. JftMU Italian Con, M gW^ Hr,-ut..n H.M. str SBo|Dec. *&gt; Penang Senior Naral Offlrer. Stat.on Steamor. Bli .tr. Ik i.n. II Chew Keat A Co. Mlg plin. Aleiander Dut. rtr. |Joly 6 BaUria Bouatead Co. ,K«pairi.&lt; l^rUban Hrt.atr. SgoAu*....
18840103	Page 2	STRAITS TIMES. THURSDAY, 3RD JAN, 1884 LATEST MARKET QUOTATIONS. .■ii.\oipo»i, 3ri&gt; /anuabt, MM (Junbier 7.40. rilack Pepper 17. White Pepper, fair quality. J-{. nom. .r. Bar «0 Ooffc.-, Ifonthyne Tapioca, small Flake t 10. tO*. Mule twist ML S» las. bbirtiugs UNi, 7 do do 1.42*. 6 doT. n..ili 1.074....
18840103	Page 2	MAILS CLOSE. TO-MOBBOW. tor per at Hutu via, damarang eud s. .11 ntf«y» I '-o»&lt;4oh, 9 a.m. Boofkono. HritMi. 9 a.m. Batsria. Cherihoa and Samnrung. /Vnonj, II a.m. Malacca and Penan*. Benmort, 1 p.m. Saturday. ItMH Coloabo, Bombaj and Ail m, Orion, 11a.m. Hon^kunui Shunijhai. Cyclopa 11a.m. l«lembang, Mantok and...
18840103	Page 2, REUTER	REUTER'S TELEGRAMS. (Vox S/ritU IS me*. I Thk K;vemb. Lohi/ou, in,/ J&lt;m.— The total Revenue for il.e year ending ;)lst December, amoiinfs'to £90,009,000, showing an incr.ii-e of £*,690,00 l) over that of the preceding year.
18840103	Page 2	Messrs. Kellar Cunard's Entertainment. L.vst nigh? t)»&gt;«r clover performers gave a second t'litvrtaiiiinetil in the Town Hall to a somewhat larger audience than on their first appearance. The programme was much the same as Ix-lorr, and wan gone through with great soceeaa, the audience being evidently surprised and delighted with...
18840103	Page 3	"Netherlannds Indian News. from Itntrk .\&gt; v '/&gt;""■•) lent of the v ,ti ti ler date furvent engagements and additional details of the wreck of the Niiero f the sction near iber, in which r and I've tl it the enemy Tnku Hiuin inak P.iyn, und hat they suffered ni..."
18840103	Page 3	Philippine News. Translated /rot* Manila newtpapert. Sotloo. A t write* to us as follows fr m S ol under date tbe Inth instant: Information has 1-een of thre. swot &gt;n their wjy hither, bat they have not yet made their at/pearar.ce and probably never will. Yesterday, the Moros of a...
18840103	Page 3	A Suggestion. To thr Editor of the Straif Timei. Diab Sir, The immediate knowledge of the arriral of Teasels is to many a matter of great importance. The-exitting method by flagstaff is excellent still the raising of the Flags and their disappearance before perchance any one can «cc I them,...
18840103	Page 3	STEAMERS EXPECTED. 1883. Au«. Si Teutonic Hamburg. Sot. 6 Benledi Antwerp 7 Eitella Penarth 8 Kwanff Le« OU«icow. SO Cyclopa Urerpool. 21 Ville de Straibourg Antwerp. 23 Benalder do 26 T iwjh Paaarth. 16 Raasmroo London. 27 Rho.lor» Cardiff. 29 K«j-lton Diion do 3'( I Li»erpool. SO hrak Hamburg. 33...
18840103	Page 3	"SAILING VESSELS EXPECTED. July 31 (Ho BatU Cardiff. Serinirapatam do Aug. S5 Maria Raffo •!&lt;&gt; 81 AreoU *&gt; B«pt. 1 Oeorg do •&gt; 6 Maria Accam* d"" 9 Anna do 10 Boerimnar do U Boadni do 14 Willy Rickmert do 14 Alice Bickmar* do SO Pusidon Burrrport. «0 Ball Armir*..."
18840103	Page 3	CLEARED ANJER FOR OR DERS. 1883. June 10 Taurida N.wport. 26 Armoni* Cardiff. Aug. 6 Ani.'llo Oalatola New York. 6 MariaATereia do U Dcideria do 14 Nuoto MargTienta. do tt 16 Matanzaa &gt;*. do 11 Ooryphene do 12 Amrtcl Cardiff. 27 Stanley New York. M FiumoE. do bept. 1 Jennie...
18840103	Page 3	ARRIVALS. S Vwk'i Nak». I CiWAW. a Ri«» Fbom. Sailsd. Coniam«. 1 Ron Rr »tr *W Petenen 2 tniu Dorothea Oer. bq. WJ 1 1 &gt; Fatol Mab«T»k Sar. b(f. l«ONa«-od»- I 1 Benledi Bnt rtr. 9WThom»n S Orion Aui. itr. lillMahormch 8 P»toeai Dut. rtr. «Oti»M««te S-»b»7» D«. »L....
18840103	Page 3	CLEARANCES. Date. VamL'a Nawi. Fuo Ri«. Captaot. Dbrtoatiob. s 3 S Ouirm«de rhanda Olcnflnlu May Flower Benledi Brit. itr. Brit. ttr. Brit. ttr. Brit. rtr. Brit. ttr. Ruaton Ruawl Jaoob* Thorn kid Hi :'»l.-mt» tU port* Prnang, Qmlle M»l»o« 4 Klang Boogkooff
