Date	Page	Abstract
18940101	909090	909090
18940102	Page 2	COMMERCIAL. LATEST MARKET QUOTATIONS. Singapore '2nd Januakv*W94. Fboducb. Gambier, 6*J5. do Cube No.l. 11.00. do do No. 2, B.:J&lt;V Copra Bali s&lt;&lt;V do Pontiauak 5-*&gt;-Pepper Black, »■»&lt;%■ Sapo Flour, Sarawak 2.-ti'/2 do Brunei -*&gt;• Pearl Sag.- %*:&gt;■ Coffe,. Bali Coffee Lib,.rian *&gt;.00. Tapioi-a small Flake 4 !•&gt;■ L do Ist...
18940102	Page 2	"MAILS CLOSE. For Per Hr. n, H r To-Morkow. B»tu Pahat. Auuj.lnu, «t a m I «ilmik via porla a. van Rqlnndl, lla.m KUu* v,. port,. 11..,,., W.i,,. |p"" Hang'ok. .V-in.;,,,,,; t In CalootU ti. port,. ""-fi|.f_. •ni 1 Caluptn, {j i, m t.lo. Anv,n I h t Af«wTu, |pm..."
18940102	Page 2	"Passangers List. Arkivalk. Per s. k Mahco, from T. Anson vis ports i -Mr and Mrs. A. Bak.,r. Mis, WhitLker. mud Mwsrs. J« us/ tkmUt, Woodward, and ii*H*uni. Per v OUaorrliy from Loudon Si Peumugl —Mr. James Murray. MfaudMrSi,^"" 1 a mnd Hoiu HeU f r m Del MeMre R»Mome..."
18940102	Page 2	STRAITS TIMES T UESDAY, 2nd JANUARY, 1894. RETUER'S TELEGRAMS. K-rvm.'.-!iKi&gt; 1 i. Price 10 Cents. Subtcription rate* and adotrtisiti) ralet may be found on the fourth jhhj'- (Monday* Telegram*) Mr R. 1 1. 1. 1n, u Clarke kni«b &lt; .1. Mr. Fielding Clarke, Chief Justice of Hongkong, has been knighted....
18940102	Page 2	"Golf. r /,M, l, i mnrna/mmmd »'.r/i Mr. J ti. Manwa.) CahaoJa. ¥iadaf. ttM Iv tW&gt; u'oli foursome ""All Visitors Mr*v* Cah\tta the visitors won, one up. In a s.i i h match arraiiKed amon^ tlie visitors. &gt;fi J. B. Roliertsou was first. Thi- tel.-Llii:. proluhlv reeonl- the cml of..."
18940102	Page 2	"The ""Costa Rica Packet""Case. Thkrk arrived this moruiui: a &lt; opy of the rejiort of the d^le&gt;-t Committtv aaajeJß&gt; t &gt;d by the New S,*;h Wales I^ifislative Couiuil on the OoaM Hi.a Packet OMB, together with the plOwedngl of the committee and minutes of \l,e evidence This select coniinittei' was..."
18940102	Page 2	His Excellency and the Penang Elections. Hi: piiblish to-day a letter in which tinColonial Secretary BKBjl ins to tin- PaajUHJ Chankar of Ooajaaara Mis ■mßoaey'i views re^anlintr the eliotaaaj pcoeoediag* in wliich that Chamln-r was recently cnpwod. The Colonial Secretary reminds the Cliamlier that the irivilege it possesses is the...
18940102	Page 2	S.C.C. vs.Selangor. A oaiocai mm, H kai ban anaaaei batvooa the Kaaaaora CrickH Clabaad the Belaagoc Cnckal Clab U) lab place al Kwala Laaipor on the sth an 1 t!th of Fil'ru.iry. It it proj -1 th»t th.S. C. C. team shall leave Singapore oa Saturday 3rd Febmarj, and return...
18940102	Page 2	"Municipal Meeting. ordinary i ting of the Mum, i|.,i Coininissiouirs will ba h,ld on WadacaHj Aokn i I. To Mid mill if oaanrcd iam Ik ininiltrs f the onliliiirv m inlillg held ""ii December, tad »f special aweHng h&gt;-M v 20tk I) inl&gt;r \^M Btaadiag Coouaitlo I p|« lati ll'-ilili..."
