Date	Page	Abstract
18830101	909090	909090
18830102	909090	909090
18830103	Page 2	WEDNESDAY, 3rd JAN., 1883. LATEST MARKET QUOTATIONS. Sinoapori 3ki&gt; January, 18S3. &lt;i«mbier ti.lo. Black Pepper 13.10. Wbit« Pepper, fair qoality. 22 s&lt;). Ra^o Fluur, Sar i.121 Pearl Sag. 3.40. Coffee, Bonthyne 1«.75. Tapioca, small Flake 3.05. Tin 29.90. 40s Mule twist 98. &lt;-i lb». Bhirtings 1.60. 7 do do 1.4&lt;»....
18830103	Page 2	Mails Close. To-dat. For i*r Hongkong, Zambtti 4 p. m. Tomorrow. Malacca, Penang. Bur. mah and Calcutta I'emba Ip.m. Malacca i Klang, May fWer Ip. m. Bangkok, McAlUter 2 p. m. Palembang, Muntok and Djambie, Biak 6p. m. Ambcina Ternate and Band* CUator 6 p.m. Fridat. Malacca k Penang, Japan...
18830103	Page 2, REUTER	REUTER'S TELEGRAMS. fFor SlraiU Times.) FraNck. London, md Jau.—M. Garabetta's funeral is to be at'the expense of the State. The German Press consider his death a guarantee of peace. England. Lord Edrnond.Fitzmaurice has been appointed Under Secretary for Foreign Affairs.
18830103	Page 2	The New Year's Regatta The Tl Maud] J'ick .1 UabfUX LotHt I'innici Q. B 1 The rac order, irai 1 J,tek» f.ottiM Mi uU II mI I were and t^B theis^H ing^^H The Regatta which was held on Men- *^H day last, New Year's Day, was the most. successful one...
18830104	909090	909090
18830105	Page 2	UNKNOWN TM u4er«ifoed have vsasived inatroc- 1 Uosm irsa D. Bobs. Bag* le»ris« the I Qo*BMfe*J*fcr A*eno«. oa Wednes ft^^Htia lask, at 12 nee*, at bi« res[^otßswoode Park. The whole of I %in,» kandaome Marble top F efiiJMMs, naiMs to»*iis saMe, wbatSrj Pushi. HambM, SMarsA for t^s^BTaTJaaaaw a^at ia\ amaJfesT...
18830105	Page 2	"The Straits Times LATEST MARKET QUOTATIONS, BiaiAPoma6Tß Jaxvlm*. 18J8. Oaaftistu 6.14. BlsHk P^MMT IS WtojffZ^b&'ipiitiir. 'I 22 OaafQ anVHV Qatf M i&gt;. 1 1« P^bssTl saaTO 40 &lt;J 4lM &lt; 9M*ifeflM~V. T io!""i! MWaMMjffisi 3.05. 4ISI MoUiwiat 98. ftlUs nsjinßgr T i-tio--7 *&gt;' do M 1.40. doT.Oioth I.oB|. 7do «V&gt;..."
18830105	Page 3	SHIPPING INTELLIGENCE. I I I I I 1
18830105	Page 3	SHIPPING IN THE HARBOUR. appoint Mr. H F. T£sho» W to Acting I Resident and Aeting Meihber of the Sopreme Council in the «baenoe of the Hon'ble F. Mwwell on leave. II H. the R^i«h hu been plewed to appoint Mr. 0. 0 St. John to be Acting Treasurer «ad...
18830105	Page 5	"Correspondence. Malax ts. Enanir Boat*. To the XHtor jfjke Strait* IYmm. Sib.— The lettir signed N«t» *H»t i« evidently written by MM one unversed in matter* WMitieal. If ""Sac* Kilat had only looked little it MBl 1 ill would We ditewrered M|W tbe newt to the speed of the X..."
18830105	Page 5	"SHIPPING INTELLIGENCE AERIVALS. h Vmbl'i Naw Q 11. Bio. Captain. Fboh. Jan. 5 Marlborouzh 6 Baa Yoog Seng 5 Normandy Coniston 5 C«rlo« 6 Siseia 6 Snry Wong»e 6 Banes I ,fV ith on as^Koi iinirkok I&lt;&gt;Dgkong S"" tCo. kCo. }'al&lt;'li&gt;r&gt;ang ■Bangkok Sarawak •tr. ia. •EARANi DiTI. Vmsil's Najji. k..."
18830105	Page 5	SUMMARY. Fob CmarxAt ai»d New Ymui PKMSVTS. i. Gbahxm has jtitt received per Frenoh Mail choice assortment of the best Sag liih Jewellery in 1* carrat gold. Compihsiso Hauiw* soite* o* Br io-1-t, Brooch and Earrings, art with floe Brilliant*. 8inftta Bracelet* with BrillianU, Pearl. Ac Brooches and Barrings, Locket*...
18830105	Page 5	SHIPPING IN THE HARBOUR. t Rio. COHBIONKKB OB A.OE] i ion ff IVHS 1000 23«0 2397 Deo. 2 Jan. h Consul. Naval Officer. ,n Consul. I£K» ongse &gt; -a I).'-. [Dec. I lia :r Wt-lner n eiDer Barrie Courtney Benohr Dinln nrit. sir. N. I. 8. N. »tr. Brit. str....
18830106	909090	909090
18830107	909090	909090
18830108	Page 2	Domestic Occurrences. DEATH. Ok ll »&gt;th Jan., 1883, *Wtne Quarantine StatioD, Daniel Booths, late of Madras. Madras papers plea*e Cupj.
18830108	Page 2	The Straits Times. MONDAY, 8th JAN., 1883. LATEST MARKET QUOTATIONS. Si!&lt;oapobb Bth Jaiiuabt, 1833. Gambler Black Pepper 1290. WLiU- Pepper, fair quality. 22 50. Sa*o Flour, Sar 3.1-1. Pearl Brno t£ Coffee, Bonthyne 10.75. Tapioca, small Flake 8.05. Tin 80. 40». Mule twist 98. ci IU. BhirtiDga 1-60. 7 do...
18830108	Page 2	MALLS CLOSE. Mails Clobb. To-dat. *W f Batavia, Mnu «pmPen&ng, BarnnvuM 8 p.m. To-aomßow. Bangkok B*ry Wonf, 11 a.m. Malacca, Slang and Penang Bentan, 2 p.m. WIDRUDtr. Manila, Balvadora. Noon. Sarawak Bante, {p.m.
