Date	Page	Abstract
18560101	Page 4	DEATHS. At Singapore, on t!ie 251h Deceaiber, Julia Eleanors, a^'.-.l 2.' y«irs. Li nui.tlis an.l 22 days, tile bel.ive I wife of Mr. Alfred Simon de-t, leiivin/ a lar,;e circlo of relatio ik to bsMMM ihiir itvsoasabla lo«s. Doc 3. At Vii.ijj.il&gt;i 1.i a, Fiancis A'igu«tu» Brett Esq.. Ensijju iv...
18560101	Page 4	Straits Times Singapore:Tuesday ,Jan.4th,1856. We have to announce the arrival of the following RM*ojiMff Dm t5 [K?r Lanccfield from Calcutta, Messr». Green, CoUiagton »nd KoUtimuu 2&lt;J per W.iMeraar, from Hamburg. .Messrs Schwiinan and W.lzer JS per Ho» b 'hly f:om ItalaMa, Mr. and Mrs. Harvey 1 c.iild; 2S* por Catherine...
18560101	Page 6	China. 1* ear last weck'i isoae we noticed the failure of oae of the Mercantile Houses of Shanghae. In connection wi'h it, we extnet the following fiom the Chim» Umil. From the nature of the butiness of MrMn. Aopuull, Mc'Kensi* Co., we opine that the principal sufferers will b« Chinea«,...
18560101	Page 6	Calcutta. W« hear that Lieut Col. Michell. who lately returned from Furlough, and who has joined and taken Command of the 40th N. I. now forming a portion of Major General Lloyd's Field Force, engaged against the Sonthals, intends to retire from th»fi'rvice at the conclusion of the Campaign. We...
18560101	Page 6	Rangoon Ir is evident from the tone of the reply to the address of the Free Masons by th« Governor General, as well at from the sentiments expressed by the Lord Bishop, at liie laying of the first stone of the new Church, that Rangoon is destined to be an...
18560101	Page 6	European Intelligence. The Swkdish Alliance. We adverted yesterday io the probability of the League ajpuaat Kussia ln'in^ sticiigtheiie.l by the accession ol Sacden, ami to the cons/ijuences that mi^lir be expected to result from it. Tin) importance of the sulijec; induces us a^ain to return to it. It will open...
18560101	Page 8	COMMERCIAL INTELLIGENCE. C»i.cwtt\. \'ith December ifM OnrM— Thr 12&gt;h Opium S.le wa- hM on tiw7th inst w»i»n I*2l rhp-ts nld I'a'iia with 'r:i-h, D '9 chratu new Patim of the nea-i'l 18&gt;l-&gt;), and 1 129 chests l!i&gt;naic» were sold at the fdlnwinu rsjtra; ighrs t Lowest 'terv}e. Patna-IMI-M 87&gt; %\b...
18560101	Page 8	Vessels Expected fron Europe. Amrrika IVf'St Ilirtlepool 31 &ag \t£ i (t.nritt lti,m&gt;mrg lUiM* S'rhei.anl OU--'&gt;« 5 N u-. 8,,,.iia .\t«ii.,rt IB Sepf I'uinii M&lt;:.\iilliu Li. nil. m L'l.rt-.ili'e Cnminii g UU«gn« 22S.pt. .1 n Star J»rk-..ni i.ie n &lt;».l US. ;it He ciues l!aii-cn II rl. 1 licnm.i Hviwaiiie...
18560101	Page 8	"SHIPPING IN THE HARBOUR. NATJVR HBAfT. BRITISH.—-Brittomart, Peacock, Sam'mi.v, K«rlir Hnx, Ameer Lc'chmy, llydrooT^7 t'alendu Bus, Rutun Mal.i, lahafln 1. I)i lo.SMney, Kirn Yap Soon. DUTCH—N(-..r S,: n. If, 1.hi.,. BtwgH, Chun On n'. Lurol»r M ~lion, A Imantoer, On a Kr-e, Te&gt;» I I""""-' B ii in Hag, 011..."
18560102	909090	909090
18560103	909090	909090
18560104	909090	909090
18560105	909090	909090
18560106	909090	909090
18560107	909090	909090
18560108	Page 4	Straits TImes Singapore:Tuesday ,Jany.8th,1856. We liitve to niinoiiiice i he 9iiiv.il of lh&lt; 10l lowing patii'imfm Jan. I per Cliu-an (inn Hongkonjr, Mr Reel 6 per ll»ngkok Mar,; fn.m Iw^fcnh. .Ur. 11. iiinuekindt. W« lia\e to an iuc« ilie tiejiaiiuie of Ibe folKtwiitii |ii«(«sp'iL r »'is Jan. 2 per Prince...
