Date	Page	Abstract
18590101	909090	909090
18590102	909090	909090
18590103	909090	909090
18590104	909090	909090
18590105	909090	909090
18590106	909090	909090
18590107	909090	909090
18590108	909090	909090
18590109	909090	909090
18590110	909090	909090
18590111	909090	909090
18590112	909090	909090
18590113	909090	909090
18590114	909090	909090
18590115	909090	909090
18590116	909090	909090
18590117	909090	909090
18590118	909090	909090
18590119	909090	909090
18590120	909090	909090
18590121	909090	909090
18590122	Page 2	"DOMESTIC OCCURENCE DIED. At Milact- on the mor.Jf ofthc l«th J«a— ly, I 5.5:». .iff"" s'l.irt illnwr*"" '■-•'■•¥&lt;: \nna tn« aaWswl wife ..f Mr. (t.-..r.'.-i»tel.)&gt;»,».'cl H) ye*rv"
18590122	Page 2	STRAITS TIMES SINGPORE SATURDAY 21ND MAY. 1859. Wr. hive to ami &gt;«c the arrival of the following passengers Jany. I.J ln.r IVk v :pi B imbay. t&gt; Singa- p.&gt;R-, Mcsrs. C.iUs, (ill Uroik«, I'miicH, aiU tmm, &gt;lr. :.ul .ir-. Ktr .ni Mr. .vi Mm. lljiu-k f&gt;r !l.in^k')ii^. Madi M lf...
18590122	Page 3	CHINA. U B n i&gt;v |«r cj 1 hmw I n irntiv .-I* II- Kl^ ■■v|l'|iMJ|| il|) tin- VI I ;U*. i- ill it.- Ifr 11 1 1 J .if 1 I ,f .11^ 1 &gt; i. |..i.iei it wild tin &gt;.-ra«a; ttw'Mtm wihtn t f&gt;i kia 1 i',iv&gt;&gt;r 1....
18590122	Page 4	"SINGAPORE SHIPPING ARR VAi.S Jan. io Uniis'i Sii'innT Pekin, Borne, i') vi' m. Hi t ,r,;,», general. I'tii.li l.ri^ Ij.i!i l.n:i.-, l.vn.li, Aui..\. Jl.l .&gt; ratßii, MMNlrirt. I 1 i iiu-Ii :&lt;u| n- a 11. tl*e«*, Ani.i\ Jan. i »ii Cbine««i IJiiiisli barque lila .'.i-i!., \JIIII-, Jan. 7 ""iii l.iiioc...."
18590122	Page 4	"SHIPPING IN THE ROADS 1 H'MVwbr. ""••raaea \V &gt;ia..t0t.,1-;».| n ri .M,'Ctk .tot'lwbff I ss; at o. Bri t Li b rk Hirrhf J« cemr. I j'' P -\.,,.-r. bark &gt;&lt; ■■""&lt;.-' •*Mial»n lo A:,i»r. »...ik C K.v.n DlllO Kmn 8 1, i,, H. U. U..W U.l.h D.tto Atnvr. bark..."
18590122	Page 4	VESSELS IN NEW HARBOUR N.illiK (K.il'i, H I iMI ;-i... i .11 n. ll.niiii- H-. v v ny Pal y. Hame Mt, Uh- n «ny, Ni *-ur, ftvii, f1j i»,i' nan DUTCH— Peng Quid, V li Lrong, B&lt;«oii W Oiun Let. Saga, iru_-'; 'i (oi Cl&gt;nd« Uut, I! &gt; Katig...
18590123	909090	909090
18590124	909090	909090
