bees,-3.3962014386791846,-0.17022650471415438
couture,-0.485404496118101,-1.6958763390161733
enemy,-5.102887992616857,2.6986800097218677
fillip,0.06556759853836203,-1.7093770022278885
flute,-0.258977933984734,0.3965669343436038
friendlies,-0.061505478466166066,-1.1663938012910582
designer,2.779722513509353,-0.6191703987082519
impressed,-1.4420449529026929,0.5320483109188301
speculations,1.1622526882768034,-2.0219183771442477
faction,-0.807719836966621,0.3021365957719939
hie,-1.4006720007124462,-0.9526488611142707
graduate,-2.411442056237533,-3.8986312708158857
breeze,-1.3467372832126403,-2.400293874842812
reviving,0.09553130030953477,-1.169122807807978
michelin,0.1314214135173643,-1.5707333605451763
obote,-1.2202257220609611,2.921425046465445
ballpark,0.3106073066857552,-1.4407066888958082
meatballs,-0.858764183936651,-1.504395258809285
colleague,0.6793484361898205,-0.5218358257152468
iwoman,0.025983674718535535,-0.7326645259439396
nina,-3.1298357631858074,-3.719005662178611
dawned,-0.5954281564865564,-0.8519390330800726
dashed,-1.1649909658546442,-2.487530225562694
tosser,-0.11589967753471023,-0.977816903739653
fay,5.089220609661206,-2.937299573893189
marcella,-0.3647603247507666,-1.4553994391101936
mobile,4.930155233046115,1.2194979886347468
vegetarians,-0.2502342403244453,-1.7847949477440885
macaroni,-0.9259439037906054,-0.6403492503964443
coups,-1.4135463316239736,-0.8138592444676815
population,-5.919981332693614,-0.19807722083432266
squander,0.1183083907681434,-1.4124414778776162
assistant,-3.1758657898178586,-2.1451749590124916
jaya,9.02369977359537,8.151869928519353
lifts,-10.932968917816677,-7.046223434158087
corps,-1.1778542824750498,4.6299800714632315
aftermath,-1.399311602239272,-0.9316557612868279
suggests,5.9160444660232026,1.5597136584727707
gazettes,0.11830838585941758,-1.4124414788332458
funk,-0.0012021230542955126,-1.6538262756871527
railmen,-5.669766097058351,-4.201983978159968
coldest,-0.5954281564865566,-0.8519390330800718
complains,-0.5065189459370593,-2.1654498446155896
staking,0.2896853686240592,-1.2365840927172234
nudists,0.38636420021047685,-0.15896715410659065
upcoming,0.18861375282700688,-1.0276239639723803
natives,-0.6880157304260609,-1.2112826714492755
vintage,-0.6412786884922738,0.864092719293435
desire,1.238407133736337,0.471931454090707
agitates,-0.5395557669989912,-0.6608805122524399
bonded,0.6073236047799635,-0.3973593576255307
heist,2.0390086770930647,-0.9704952993728865
insurer,0.13142141351734477,-1.5707333605451685
innerspace,-0.2841925679846413,-0.40113919593244696
polytechnics,0.9997958526339338,-2.1890685168268442
honey,0.786082482368671,-0.09671818774832834
thatshaw,-0.7950085825320494,-1.3808369087594
keglers,0.4180632821529503,-1.2878031306838695
cambodia,-29.999004294873277,-15.253142376537737
splashed,0.7670095500659632,-1.3303495460146677
tourism,-1.0452567908101456,9.52792513326432
aboriginals,-0.15336687443239513,-0.3633836570681865
huff,-0.3584991822549268,0.053958703573265855
adolfo,0.025983674718536597,-0.7326645259439387
islandin,-0.07015755431303888,-1.5318649843845933
measles,0.3882164689644001,0.5438307596863585
terrorisa,0.3491510835996379,-0.8675437946725305
klse,1.9799989529910054,-4.520042733290428
write,-4.803060922693393,-3.2109443704306355
undeterred,-0.15341657347531457,-2.170622465247509
stockpiles,0.0655675985390093,-1.7093770022274963
daniel,0.3106073044145674,-1.440706689032622
knows,2.5142290802598795,-2.822307981077096
shaky,-0.5435575467146236,-0.01584532798566909
unhealthy,1.5929051776285597,-2.443818292043687
perrett,-0.9217589924263666,-1.0708703313257377
cheong,-0.5401815481163116,-8.984508232077818
kajaratnam,-0.15336687443239194,-0.36338365706818176
afghan,-7.220179496107885,-3.442686053295328
maternity,-0.3850341061065449,-2.7408860108542368
trustee,0.2908586424065372,-1.5310188491125691
rang,-0.5591587398993272,-2.1630916299795078
toypistol,-0.9217589924263642,-1.0708703313257353
stun,0.41434098467688457,-0.1793719037747527
hague,0.3100758116646201,-1.980470186158166
vu,-1.6984844344853471,-1.3835878119615057
gordon,1.0455288699546932,0.7068106620935819
walls,-1.074241895042172,-2.597389097748786
rewards,-2.7601139353584094,2.392576534648072
biondi,-0.10799127558053923,-1.389865391194242
sponsorship,0.8480709310533636,-1.3242825312252866
kenyan,0.33031092477310087,-1.0440730967366436
terrified,-0.5954281564865577,-0.8519390330800742
queue,-1.435785300602966,5.415828191930131
liem,-1.4150692960386426,-1.1662391657169309
uni,0.6275979111902934,-1.7502882021824206
insult,-4.949765686272585,-2.0123859033968836
salesgirls,-1.0339503265512893,-1.2461045579675003
tie,4.695301257907362,0.2679195094629334
rajamani,1.3911538867164326,-0.629546421599043
actor,0.8252339228927751,5.428141604607822
hussain,-1.4485363208337994,-1.0217523003529818
linchpin,-0.2841925679846418,-0.40113919593244696
attended,-1.0841451007355498,-1.8915018483102084
loaves,0.34915108359963853,-0.8675437946725303
jos,0.20591587105016448,-2.7370585112180947
sanyo,0.1132191478440475,-0.4358697955979292
vicom,-0.9171794309859581,-0.9130263807394557
heardanders,-0.0012509412571947982,-1.65389778568457
coarse,-0.921758992426365,-1.0708703313257357
afdsf,0.4422669467962013,-1.0201464999655108
overdue,0.5802406738550644,-0.3868841884293618
sacrificing,0.44226694679620127,-1.0201464999654983
bored,-0.39015320954874666,-3.199748433099728
visit,121.43125960418128,30.407832593466217
genghiz,-0.31966331400792614,-0.8922023391756579
minutes,-12.760396105029132,3.860059870849644
lifelines,0.41806328215294924,-1.2878031306838702
disqualifies,-0.7079157662778025,-1.663975671324876
lick,-1.1875471731068956,0.3948197820464801
sli,7.830844035217422,5.171247176279288
brakes,-1.6676678501802131,-0.4979767101948509
