"word"	"category"
"United"	"personplace"
"units"	"business"
"University"	"personplace"
"upon"	"remove"
"Urn"	"business"
"use"	"events "
"used"	"events "
"Value"	"business"
"Van"	"personplace"
"vessel"	"business"
"vessels"	"business"
"Vessels"	"business"
"via"	"remove"
"Victoria"	"personplace"
"Victory"	"events "
"victory"	"events "
"Vietnam"	"personplace"
"Vietnamese"	"personplace"
"view"	"events "
"visit"	"events "
"Vol"	"business"
"Volunteer"	"events "
"waa"	"remove"
"Wall"	"business"
"want"	"remove"
"war"	"events "
"War"	"events "
"Washington"	"personplace"
"waster"	"events "
"Water"	"personplace"
"water"	"events "
"Wax"	"business"
"way"	"events "
"Weekly"	"events "
"weekly"	"events "
"weeks"	"events "
"Wei"	"personplace"
"well"	"events "
"West"	"personplace"
"Wharf"	"business"
"Wharves"	"business"
"White"	"business"
"white"	"events "
"wife"	"events "
"William"	"personplace"
"Wilson"	"personplace"
"Win"	"events "
"win"	"events "
"Wingate"	"personplace"
"winner"	"events "
"Wireless"	"events "
"wish"	"events "
"without"	"events "
"Wizard"	"business"
"woman"	"events "
"Woman"	"events "
"women"	"events "
"Women"	"events "
"won"	"events "
"wood"	"business"
"Woods"	"events "
"wool"	"business"
"words"	"events "
"work"	"events "
"workers"	"events "
"working"	"events "
"world"	"events "
"World"	"government"
"worth"	"events "
"writer"	"events "
"writing"	"events "
"Wyoming"	"personplace"
"Yacht"	"business"
"yang"	"events "
"yes"	"events "
"Yesterdays"	"events "
"Yew"	"personplace"
"York"	"personplace"
"young"	"events "
"Zealand"	"personplace"
"Zoo"	"personplace"
