"word"	"category"
"country"	"events "
"course"	"events "
"Court"	"government"
"court"	"government"
"Coy"	"business"
"Cricket"	"events "
"cricket"	"events "
"crisis"	"events "
"Cross"	"personplace"
"cts"	"business"
"ctys"	"remove"
"Cueman"	"personplace"
"cum"	"remove"
"Cup"	"events "
"currency"	"business"
"cut"	"events "
"cwt"	"business"
"Daily"	"remove"
"daily"	"events "
"Dance"	"events "
"data"	"events "
"Date"	"remove"
"date"	"events "
"dated"	"events "
"dates"	"business"
"Dati"	"personplace"
"Dato"	"government"
"Datuk"	"government"
"Daventry"	"personplace"
"days"	"events "
"dead"	"events "
"deal"	"events "
"dealers"	"business"
"death"	"events "
"Death"	"events "
"deaths"	"events "
"Deaths"	"events "
"deck"	"business"
"declares"	"events "
"Delhi"	"personplace"
"demand"	"business"
"Demand"	"events "
"Departed"	"events "
"Department"	"government"
"departure"	"business"
"Departures"	"business"
"Development"	"business"
"Diary"	"government"
"Dido"	"personplace"
"died"	"events "
"Different"	"events "
"dinner"	"events "
"director"	"events "
"directors"	"events "
"District"	"personplace"
"Ditto"	"business"
"Div"	"events "
"division"	"events "
"Division"	"events "
"Dock"	"business"
"Docks"	"personplace"
"doctor"	"events "
"dollar"	"business"
"dollars"	"business"
"done"	"events "
"dont"	"remove"
"Dow"	"business"
"draw"	"events "
"dress"	"events "
"dressed"	"events "
"Drill"	"events "
"drills"	"events "
"Drs"	"events "
"drs"	"events "
"drug"	"events "
"dry"	"events "
"Durban"	"personplace"
"Dut"	"personplace"
"Dutch"	"personplace"
"Earl"	"personplace"
"early"	"events "
"East"	"personplace"
"Eastern"	"personplace"
"economy"	"business"
"economic"	"business"
"Editor"	"remove"
"Education"	"government"
"eggs"	"events "
"eight"	"events "
"Electric"	"events "
"Elizabeth"	"personplace"
"Embankment"	"personplace"
"Empire"	"personplace"
"employees"	"business"
"end"	"events "
"ended"	"business"
"ending"	"events "
"enemy"	"government"
"engine"	"events "
"England"	"personplace"
"English"	"government"
"Erin"	"personplace"
"especially"	"events "
"Esq"	"government"
"Estate"	"business"
"Estates"	"business"
"eta"	"remove"
"etc"	"remove"
"Europe"	"personplace"
"European"	"government"
"Evatt"	"personplace"
"even"	"remove"
"evening"	"events "
"Evening"	"events "
"every"	"remove"
"Excellency"	"government"
"except"	"events "
"Exchange"	"business"
"Exhibition"	"events "
"expected"	"business"
"Expected"	"events "
"extract"	"events "
"eyes"	"events "
"fair"	"events "
"family"	"events "
"famous"	"events "
"far"	"remove"
"father"	"events "
"fathers"	"events "
"Federation"	"government"
"feet"	"events "
"Fence"	"events "
"film"	"events "
"Film"	"events "
"final"	"events "
"financial"	"business"
"Financier"	"business"
"find"	"events "
"fine"	"events "
"fined"	"events "
"fire"	"events "
"five"	"events "
"Flake"	"business"
"Flao"	"personplace"
"Fleet"	"events "
"Flora"	"business"
"Flour"	"business"
"flour"	"events "
"flu"	"events "
"fob"	"events "
"follows"	"events "
"Fong"	"personplace"
"Food"	"events "
"Football"	"events "
"football"	"events "
"forces"	"government"
"Foreign"	"government"
"foreign"	"events "
"Foretell"	"events "
"formaion"	"remove"
"former"	"events "
"Fort"	"personplace"
"fortnight"	"events "
"forty"	"business"
"Forward"	"events "
"four"	"events "
"fourth"	"events "
"France"	"personplace"
"Fraser"	"personplace"
"free"	"events "
"French"	"personplace"
"friendly"	"events "
"friends"	"events "
"front"	"events "
"full"	"events "
"Full"	"events "
"Fund"	"business"
"fund"	"events "
"funeral"	"events "
"fur"	"business"
"Fusiliers"	"events "
"Futta"	"personplace"
"Galle"	"personplace"
"Gambler"	"personplace"
"game"	"events "
"games"	"events "
"Games"	"events "
"garden"	"events "
"Gardener"	"events "
"Garrison"	"events "
"Gate"	"personplace"
"gave"	"events "
"Gazette"	"government"
"General"	"personplace"
"general"	"events "
"gentleman"	"events "
"Gentlemen"	"business"
"George"	"personplace"
"German"	"personplace"
"Germans"	"personplace"
"Germany"	"personplace"
"Gilmour"	"personplace"
"girl"	"events "
"give"	"events "
"given"	"events "
"Glasgow"	"personplace"
"global"	"events "
"Globe"	"events "
"goal"	"events "
"goals"	"events "
"Goan"	"personplace"
"Godown"	"government"
"Goh"	"personplace"
"going"	"events "
"gold"	"business"
"Gold"	"business"
"Golf"	"events "
"Good"	"personplace"
"good"	"events "
"Gorbachev"	"personplace"
"got"	"remove"
"Government"	"government"
"government"	"government"
"Governor"	"government"
"gratefully"	"events "
"Graving"	"business"
"great"	"events "
"Great"	"personplace"
"ground"	"events "
"group"	"events "
"Group"	"events "
"Guan"	"personplace"
"Guard"	"government"
"Gubbins"	"personplace"
"Guild"	"personplace"
"guilty"	"events "
"Gulf"	"personplace"
"Hale"	"personplace"
"half"	"business"
"Hall"	"personplace"
"Hamburg"	"personplace"
"Handicap"	"events "
"Hank"	"personplace"
"Hankow"	"personplace"
"Harbour"	"business"
"harbour"	"business"
"hark"	"events "
"Harrison"	"personplace"
"heading"	"events "
"Headquarters"	"personplace"
"heard"	"events "
"heart"	"events "
"Helm"	"personplace"
